"rule_id","rule_name","pattern_it_recognizes"
"rule_67f055bfa9650bd4","opt_outs_ml.regex_rules.074.greeting","/^yo$/giu"
"rule_2d8563fd20c5b26e","opt_outs_ml.regex_rules.025.help","/^support$/giu"
"rule_fe8eca5e5e5ff867","autoQAMessages.labels.inferred_opt_out.003.do_not_don_t_text_message_contact_advertise_promote_show_spam_n","/\b(?:do\s+not|don['’`]?t)\s+(?:text|message|contact|advertise|promote|show|spam)\b[^\n.!?]*/gi"
"rule_ed238f1683bfefd7","autoQAMessages.labels.inferred_opt_out.002.turn_that_this_it_off","/\bturn\s+(?:that|this|it)\s+off\b/gi"
"rule_951e4f507c1e0000","opt_outs_ml.regex_rules.032.issue","/^refund$/giu"
"rule_7509cd80be755633","opt_outs_ml.regex_rules.031.issue","/^too expensive$/giu"
"rule_d8d671fb7effd4f8","optOutClassifier.json.patterns.73","/\bFCC\b/gi"
"rule_aa28eb133e088f5a","opt_outs_ml.regex_rules.002.near_stop","/^shop$/giu"
"rule_60d49da4e20ab6bb","opt_outs_ml.regex_rules.003.near_stop","/^start$/giu"
"rule_e8595ca2d300bbec","opt_outs_ml.regex_rules.004.near_stop","/^subscribe$/giu"
"rule_a183372a5e01f8a4","opt_outs_ml.regex_rules.001.near_stop","/^top$/giu"
"rule_ecf3dd814e471bc4","opt_outs_ml.regex_rules.005.near_stop","/^unstop$/giu"
"rule_6da31ef70e2d6310","opt_outs_ml.regex_rules.087.no_notifications","/^im not receiving notifications if this is urgent reply “urgent” to send a notification through with your original message$/giu"
"rule_ca69915c8aea9988","deterministic.not_opt_out.019","/10 shein freebies and a 50 allowance for the lucky just click and claim\s+so easy/gi"
"rule_9d3ca0925c77f798","deterministic.not_opt_out.047","/code doesn t work/gi"
"rule_f1cf1c3e400ab1d9","deterministic.not_opt_out.079","/the code doesn t work/gi"
"rule_09183ab2ef58af60","deterministic.not_opt_out.077","/what s the code/gi"
"rule_4c63b63c6e5b331e","deterministic.hard_opt_out.026","/i dont want to be here/gi"
"rule_84cd22c4776d10ec","deterministic.hard_opt_out.025","/i dont want to hear from you/gi"
"rule_994b4cd5c97cedc6","deterministic.hard_opt_out.034","/im deleting you/gi"
"rule_652821f830bc7d4e","deterministic.hard_opt_out.042","/im going to sue you/gi"
"rule_2e92a19c5f9f0710","deterministic.hard_opt_out.035","/im removing your number/gi"
"rule_55c3cf844326fe2f","deterministic.hard_opt_out.041","/im reporting you to the bbb/gi"
"rule_49e838405791d1c1","deterministic.hard_opt_out.027","/im tired of you/gi"
"rule_a0fc16105db53fd4","cannot_receive_messages","/\b(?:cannot|cant|can not|can't)\s+receive (?:messages?|texts?|emails?|calls?)\b/gi"
"rule_06305227826122d3","not_accepting_messages","/\bnot accepting (?:messages|texts?|emails?)\b/gi"
"rule_6b96f9cae2fcf010","exact_cncl","/^\s*cncl[.!?,;:]*\s*$/gi"
"rule_0fc07028c0b71113","exact_dnc","/^\s*dnc[.!?,;:]*\s*$/gi"
"rule_8fb0c0ebc0546ac8","exact_rmv","/^\s*rmv[.!?,;:]*\s*$/gi"
"rule_1cef88e122143e26","exact_wtop","/^\s*wtop[.!?,;:]*\s*$/gi"
"rule_25871eb5c28b9dcd","exact_stop","/^stop$/gi"
"rule_c3c28cfea920ea25","kosher_talk_only_auto_reply","/^this is an automatic message this is a kosher talk only device and does not accept text messages please call instead$/gi"
